Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
937055,Tata Capital Housing Finance Limited,83TCHF28,Tata Capital Housing Finance Ltd,Active,F ,1000.00,INE033L07GT4,Debentures and Bonds,,,,,
937057,Tata Capital Housing Finance Limited,84TCHF28,Tata Capital Housing Finance Ltd,Active,F ,1000.00,INE033L07GU2,Debentures and Bonds,,,,,
937059,Tata Capital Housing Finance Limited,TCHF30,Tata Capital Housing Finance Ltd,Active,F ,1000.00,INE033L08270,Debentures and Bonds,,,,,
937065,Shriram Finance Limited,875SFL27,Shriram Finance Ltd,Active,F ,1000.00,INE721A07PK7,Debentures and Bonds,,,,,
937071,Shriram Finance Limited,91SFL27,Shriram Finance Ltd,Active,F ,1000.00,INE721A07PN1,Debentures and Bonds,,,,,
937091,Nuvama Wealth Finance Limited,98NWFL30,Nuvama Wealth Finance Ltd,Active,F ,1000.00,INE918K07FU8,Debentures and Bonds,,,,,
937093,Nuvama Wealth Finance Limited,1025NWFL30,Nuvama Wealth Finance Ltd,Active,F ,1000.00,INE918K07FV6,Debentures and Bonds,,,,,
937129,MUTHOOT MCRED LIMITED,MMLZC27,Muthoot Mcred Ltd,Active,F ,1000.00,INE101Q07615,Debentures and Bonds,,,,,
937147,JM FINANCIAL PRODUCTS LIMITED,10JFPL30,JM Financial Products Ltd,Active,F ,1000.00,INE523H07BB1,Debentures and Bonds,,,,,
937149,JM FINANCIAL PRODUCTS LIMITED,957JFPL30,JM Financial Products Ltd,Active,F ,1000.00,INE523H07BC9,Debentures and Bonds,,,,,
937169,Muthoot Vehicle and Asset Finance Limited,MVAF27,Muthoot Vehicle and Asset Finance Ltd,Active,F ,1000.00,INE00XE07184,Debentures and Bonds,,,,,
937205,Kosamattam Finance Limited,1025KFL27,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08191,Debentures and Bonds,,,,,
937207,Kosamattam Finance Limited,KFL27,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08209,Debentures and Bonds,,,,,
937221,MUTHOOT MCRED LIMITED,MMLZC27A,Muthoot Mcred Ltd,Active,F ,1000.00,INE101Q07714,Debentures and Bonds,,,,,
